company_withAccessInfo,link,country,sector,industry,publication date,pages PDF,auditor
TKH*,https://storage.tkhgroup.com/cms/assets/TKH_Annual_Report_2024_324a0e861e.pdf,Netherlands,Technology & Communications,Software & IT Services,2025-03-11,75,EY
TKM Grupp,https://nasdaqbaltic.com/market/upload/reports/tkm/2024_ar_en_eur_con_00.pdf,Estonia,Food & Beverage,Food Retailers & Distributors,2025-02-19,58,PwC
TomTom,https://corporate.tomtom.com/static-files/23910bbd-84e1-401d-8bf1-037fe9031d84,Netherlands,Technology & Communications,Internet Media & Services,2025-02-05,39,PwC
TotalEnergies*,https://totalenergies.com/system/files/documents/totalenergies_universal-registration-document-2024_2025_en.pdf,France,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,2025-03-31,146,EY
Traton*,https://annualreport.traton.com/2024/assets/downloads/traton-annual-report-2024.pdf,Germany,Resource Transformation,Industrial Machinery & Goods,2025-03-10,79,EY
Trifork*,https://investor.trifork.com/wp-content/uploads/sites/4/2025/02/Trifork_FY24_Annual-report.pdf,Switzerland,Technology & Communications,Internet Media & Services,2025-02-28,61,EY
Triodos Bank,https://www.annual-report-triodos.com/2024/xmlpages/tan/files?p_file_id=440,Netherlands,Financials,Commercial Banks,2025-03-01,161,PwC
Tryg,https://tryg.com/sites/tryg.com/files/2025-01/Annual%20Report%202024%20-%20TRYG%20A_S.pdf,Denmark,Financials,Insurance,2025-01-23,79,PwC
UCB,https://djmyn0vvwsj0h.cloudfront.net/UCB_IAR_2024_ENG_4f4ead3812.pdf,Belgium,Health Care,Biotechnology & Pharmaceuticals,2025-02-26,82,Forvis Mazars
Unibail-Rodamco-Westfield (URW)*,https://downloads.eu.ctfassets.net/1e76kztii87u/4qMSUEWSY1ktQRXnEfBLgf/ff826035be788331d2004df7e0457319/URD_2024_ENG_-_VDEF_March_21.pdf,France,Infrastructure,Real Estate,2025-03-21,147,KPMG & Deloitte
UniCredit,https://www.unicreditgroup.eu/content/dam/unicreditgroup-eu/documents/en/investors/financial-reports/2024/4Q24/2024-Annual-Reports-and-Accounts-General-Meeting-Draft.pdf,Italy,Financials,Commercial Banks,2025-02-26,186,KPMG
Unilever*,https://www.unilever.com/files/unilever-annual-report-and-accounts-2024.pdf,United Kingdom,Consumer Goods,Household & Personal Products,2025-03-13,77,KPMG
Uniper*,https://www.uniper.energy/system/files/2025-02/2025_02_25_FY_2024_Uniper_Annual_Report.pdf,Germany,Infrastructure,Electric Utilities & Power Generators,2025-02-24,159,PwC
Universal Music Group*,https://downloads.ctfassets.net/e66ejtqbaazg/3lVdyJmpf8DQTPMRcxChSQ/80752d027f61e3846f4b5e2a5a62a958/UMG_2024_Annual_Report.pdf,Netherlands,Services,Media & Entertainment,2025-03-27,50,EY
UPM,https://www.upm.com/siteassets/asset/investors/2024/upm-annual-report-2024.pdf,Finland,Renewable Resources & Alternative Energy,Pulp & Paper Products,2025-03-05,61,EY
Vandemoortele*,https://vandemoortele.com/sites/default/files/2025-03/EN_2024_AnnualIntegratedReport_Vandemoortele_1.pdf,Belgium,Food & Beverage,Processed Foods,2025-03-28,123,Deloitte
Vattenfall*,https://group.vattenfall.com/de/globalassets/com/sustainability/vattenfall-annual-and-sustainability-report-2024.pdf,Sweden,Infrastructure,Electric Utilities & Power Generators,2025-03-24,79,PwC
Veolia*,https://www.veolia.com/sites/g/files/dvc4206/files/document/2025/03/Veolia_2024_URD.pdf,France,Infrastructure,Water Utilities & Services,2025-03-11,146,KPMG & EY
Verbund*,https://www.verbund.com/-/media/verbund/ueber-verbund/investor-relations/finanzpublikationen/en/2025/verbund-integrated-annual-report-2024-englisch-final.ashx,Austria,Infrastructure,Electric Utilities & Power Generators,2025-03-14,192,EY
Vestas,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2024/fy-2024/Vestas%20Annual%20Report%202024.pdf.coredownload.inline.pdf,Denmark,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,2025-02-05,82,Deloitte
VINCI,https://www.vinci.com/publi/vinci/vinci-2024-universal-registration-document.pdf,France,Infrastructure,Engineering & Construction Services,2025-02-28,91,PwC
Vivendi*,https://www.vivendi.com/wp-content/uploads/2025/04/20250407_VIV_VIVENDI_URD_EN.pdf,France,Services,Media & Entertainment,2025-04-07,92,Deloitte & Grant Thornton
Volkswagen,https://www.volkswagen-group.com/en/publications/more/annual-report-2024-2931/download?disposition=attachment,Germany,Transportation,Automobiles,2025-03-11,240,EY
Vonovia*,https://report.vonovia.com/2024/q4/app/uploads/Vonovia-SE_Annual-Report-2024.pdf,Germany,Infrastructure,Real Estate,2025-03-19,108,PwC
VP Bank*,https://reports.vpbank.com/2024/ar/downloads/en/VPBLI_GB2024_EN.pdf,Liechtenstein,Financials,Asset Management & Custody Activities,2025-03-13,106,PwC
Wienerberger*,https://www.wienerberger.com/content/dam/corp/corporate-website/downloads/investors-downloads/2024/2024-wienerberger-Annual-Report.pdf,Austria,Extractives & Mineral Processing,Construction Materials,2025-03-31,110,Deloitte
Wirtualna Polska Holding*,https://holding.wpcdn.pl/uploader/Managements_report_2024.pdf?cEg=olmFE4%2BOw0OPx4ICQUVTVZPXA9dVlVPQ04eGw0ZBghPVU4OV1tdDg5UXFpYWFkOVw9ZXVxYCVUJVl1cDg9cWglYVlZZWlpcXApXXltcVlhdV1xaW1YbXE5BTRgEAgkeGw0AH05XXltZXVRbXlpcEg,Poland,Technology & Communications,Internet Media & Services,2025-04-02,87,PwC
WithSecure,https://www.withsecure.com/content/dam/with-secure/en/investor/materials/WithSecure_Annual_Report_2024.pdf,Finland,Technology & Communications,Software & IT Services,2025-02-12,76,PwC
Wolters Kluwer,https://assets.contenthub.wolterskluwer.com/api/public/content/2630611-wolters-kluwer-2024-annual-report-cd216d4be7?v=7a259453,Netherlands,Services,Professional & Commercial Services,2025-03-12,64,Deloitte
Wärtsilä,https://mb.cision.com/Main/15003/4107848/3272936.pdf,Finland,Consumer Goods,Appliance Manufacturing,2025-02-19,46,PwC
Zabka*,https://zabkagroup.azureedge.net/wp-content/uploads/2025/03/Zabka-Group-2024-AR-Full-year.pdf?t=1743155699,Luxembourg,Food & Beverage,Food Retailers & Distributors,2025-03-24,68,EY
Zalando*,https://corporate.zalando.com/sites/default/files/media-download/Annual%20Report%202024_Zalando%20SE_EN_250503_s.pdf,Germany,Consumer Goods,E-Commerce,2025-03-06,131,KPMG
Ørsted,https://cdn.orsted.com/-/media/annual2024/orsted-annual-report-2024.pdf?rev=e2d1485c254f4274aa6d7752c8947560,Denmark,Infrastructure,Electric Utilities & Power Generators,2025-02-06,101,PwC
