company,link,country,sector,industry,pages,auditor,type,text,tot_credits,removal,reduction,standard,eu,ca,ccs,notes
Helvetia,https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/annual-results/2024/annual-report-2024.pdf,Switzerland,Financials,Insurance,185,KPMG,0,"Since 2017, Helvetia has invested in high-quality, externally certified climate protection and renewable energy projects to address unavoidable Scope 1 and Scope 2 emissions. While prioritis-ing emission reductions, these investments form a strategic component of our climate strategy to support a low-carbon, net-zero economy.
We procure carbon credits through CEEZER's trading platform, which specialises in sourcing and managing carbon credits, helping us to create a tailored portfolio. Notably, for 2024 Scope 1 and 2 emissions, Helvetia holds 4 projects with a verified climate action of 9,500 + CO,e, of which 44% remove carbon from the atmosphere.
Our carbon credit dashboard offers complete transparency about the credits for projects purchased in proportion to our 2024 Scope 1 and Scope 2 emissions. The investments in climate projects from previous years can be transparently tracked on the ClimatePartner website under the Helvetia number 12937-1809-1001.","9,500",44,56,"VCS, CAR, Puro.earth",1.9,0,,
Henkel,https://www.henkel.com/resource/blob/2043310/8e58944556950ebb78141bf6a86b58a9/data/2024-sustainability-report.pdf,Germany,Consumer Goods,Household & Personal Products,320,PwC,3,,0,,,,,,,
Hensoldt,https://annualreport.hensoldt.net/resource/PDF/HENSOLDT_AG_Annual_Report_2024.pdf,Germany,Technology & Communications,Semiconductors,59,KPMG,3,,0,,,,,,,
Hermes,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2025-05/1746455904/250328_hermes_urd2024_en.pdf?VersionId=3KSKNESQ91kB1oWe_WcbGAPH7Ok0q7MG,France,Consumer Goods,"Apparel, Accessories & Footwear",175,PwC,1,"As part of its ambition to contribute to carbon neutrality by 2050,
Hermès is focusing on reducing emissions in its own value chain,
which requires organisational and technological changes, both
internally and with suppliers (as presented in § 2.1.2.1.6).
In addition to this commitment, Hermès uses carbon credits, based
on so‑called “nature‑based (1)” solutions through natural capture
mechanisms (for example, planting) or emission‑avoidance
mechanisms with the implementation of large‑scale projects that take
time to set up over the long term.
This carbon credit strategy is therefore gradual for two main reasons:
◆ on the one hand, so that the priority remains the allocation of
human and financial resources to reducing emissions;
◆ on the other hand, to build projects with local communities, in
compliance with Hermès’ quality and ethics requirements, which
require time.
Hermès wishes to contribute in a proactive way to collective carbon
neutrality by 2050, by putting its investments in carbon credits into
perspective with the level of its emissions. Since 2019, Hermès has
used voluntary carbon credits for its scopes 1 and 2 emissions and,
since 2022, this target also includes emissions from scope 3
upstream and downstream transport. In 2024, the use of Hermès’
voluntary carbon credits represented 15% of its global emissions.
Hermès purchases carbon credits directly from the companies in
charge of the projects, which cancel them on behalf of Hermès. These
credits come from projects with strong environmental and social
requirements and are certifed by the most demanding standards on
the market.
In addition, and in addition to this carbon credit strategy, Hermès is
continuing its studies, work and investments to achieve a “net zero”
objective (using the SBTi standards) by 2050 and has begun in
particular to update the fle to be submitted to SBTi by integrating the
changes to the standard (including FLAG). Since 2012, Hermès has been a partner of the Livelihoods Carbon
Fund (LCF), which aims to improve the living conditions of
disadvantaged communities in a sustainable manner by developing
large‑scale projects with real impact against climate change and
simultaneously contributing to local populations and the restoration of
biodiversity. Ecosystem restoration, agroforestry and conservation
agriculture have the ability not only to sequester carbon sustainably,
but also to enable nature and communities around the world to thrive. The Livelihoods Funds aim to be a start‑up investor (with an
entrepreneurial approach and investment risk) in three types of
projects (ecosystems, agroforestry and energy) in Africa, Asia and
Latin America as well as in France. The funds, launched successively,
include 20 partners in their LCF1, LCF2 and LCF3 compartments. The
initial duration of the funds is 24 years, and the duration of a project
varies between 10 and 20 years. By participating in these three
funds for 12 years now, Hermès is committed to local economic
development, the protection of biodiversity and the fght against
climate change. More than €290 million have thus been collected by
these funds to help disadvantaged communities, the fght against
climate change and the protection of biodiversity. In addition to its investment in the Livelihoods carbon funds, and to
meet its commitments, Hermès has also chosen to support projects
proposed by EcoAct. One of the projects selected, which makes it
possible to obtain Gold Standard certifed carbon credits, is located in Uganda, and consists of equipping local populations with improved
cooking stoves, avoiding the use of charcoal and consequently
deforestation and improving air quality inside homes. Given the long lifespan and the complexity of the projects in which
Hermès is committed through the Livelihoods funds (from 10 to 20
years), it is not possible to communicate specifcally the number of
credits whose cancellation is planned in the future. This information
will therefore not be published in this report.","113,000",0,100,"Gold Standard, VCS",0,0,,
Hexagon Composites,https://s3.eu-central-1.amazonaws.com/hexagonassets/Hexagon-Composites-Annual-and-Sustainability-report-2024.pdf,Norway,Resource Transformation,Industrial Machinery & Goods,104,EY,3,,0,,,,,,,
HKFoods,https://www.hkfoods.com/globalassets/hkscan.com/3-investors---sijoittajat/vuosikatsaus-2024/02b_hkfoods_bodreport_financialstatements24_en_final.pdf ,Finland,Food & Beverage,"Meat, Poultry & Dairy",88,EY,3,,0,,,,,,,
Hochtief,https://www.hochtief.de/mmdbdownload?id=244795,Germany,Infrastructure,Engineering & Construction Services,235,Deloitte,3,,0,,,,,,"The transition plan for climate change mitigation is our net zero roadmap. Over and above this, we see various opportunities in our business to make a further contribution through GHG reduction and removal projects. This is mainly done as a service to our clients and must hence be contractually agreed. Consequently, HOCHTIEF proactively promotes the incorporation of such measures into its projects (decarbonization lever 1):
• Certain construction materials such as concrete can absorb carbon during a project's operation— a process known as carbonation. Depending on their longevity, surface porosity, and environmental exposure, such materials can reabsorb a significant proportion of the carbon emitted during production. Deliberately using concrete and other construction materials to absorb and sequester carbon is one way of removing it from the atmosphere. HOCHTIEF aims to continue exploring options like these together with our suppliers and clients.
• Alongside conventional construction materials, bio-based alternatives (such as timber) are playing an increasing role in the market. During their growth phase, these absorb carbon from the atmosphere and store it organically. This can result in a positive net carbon impact when used as a construction material.
• Many of our projects include extensive recultivation and rehabilitation services. This allows HOCHTIEF to restore ecosystems that remove carbon from the atmosphere and sequester it in organic matter.
• Use of biogenic carbon from biomass or biocarbon as a carbon sink for the production of sustainable concrete and asphalt.
Going beyond these examples, we regard GHG removal as an additional part of our climate change mitigation strategy, which combines innovative materials, sustainable processes, and partnership with our clients and suppliers. GHG removal is an area we expect to become an increasingly important requirement for clients.
HOCHTIEF actively promotes GHG removal as a service in order to reduce its own impact and achieve climate targets together with its clients.",
Hornbach,https://www.hornbach-holding.de/media/document/b4a74bac-db48-4605-8edb-1cc369cb7b6a/assets/20250521_HH_GB_EN.pdf,Germany,Consumer Goods,Building Products & Furnishings,127,Deloitte,3,,0,,,,,,,
Hrvatski Telekom,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/izvjesca/ANNUAL_REPORT_ENG_2024_1.pdf,Croatia,Technology & Communications,Telecommunication Services,51,Deloitte,3,,0,,,,,,,
HSBC Continental Europe,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-continental-europe/250219-registration-document-and-annual-financial-report-2024-english.pdf,France,Financials,Commercial Banks,109,PwC,3,,0,,,,,,,
Huhtamaki,https://www.huhtamaki.com/globalassets/global/investors/reports-and-presentations/en/2024/huhtamaki-annual-report-2024.pdf,Finland,Resource Transformation,Containers & Packaging,73,KPMG,3WIP,"Huhtamaki intends to purchase high-quality carbon credits from the
voluntary market (VCM) to support its claim of achieving carbon-neutral production by 2030. This ambition applies to Scope 1 and Scope
2 emissions. The anticipated amount of greenhouse gas (GHG)
emission reductions from climate change mitigation projects outside
Huhtamaki’s value chain, which it intends to finance through the
purchase of carbon credits, is 554,000 tCO2eq in 2030. This total anticipated amount of carbon credits planned for cancellation in the future is
not based on existing contractual agreements.
The amount of carbon credits to be purchased corresponds to the
estimated Scope 1 and Scope 2 GHG emissions remaining after
Huhtamaki’s emission reduction actions within its own operations, and
the achievement of its emission reduction target in 2030. Therefore,
the same qualitative requirements for metrics apply, as explained in the
previous chapter related to Huhtamaki’s GHG emissions.
The target claim for carbon-neutral production by 2030 and the
reliance on carbon credits do not impede or reduce the achievement
of Huhtamaki’s GHG emission reduction targets. Huhtamaki aims
to ensure the credibility and integrity of the carbon credits used by
selecting recognized quality standards, such as the Gold Standard.",0,,,,,,,
IAG,https://www.iairgroup.com/media/4qxgaavc/iag-annual-report-and-accounts-2024.pdf,United Kingdom,Transportation,Airlines,69,KPMG,0,"IAG sees carbon avoidance projects as a key transitional solution en route to full use of carbon removals. IAG expects to use carbon removals to meet an increasing share of its CORSIA obligations between 2024 and 2035, conditional
on appropriate policy, and supports wider guidance on how to transition to removals such as that provided by the science-based
Oxford Offsetting Principles. IAG is committed to supporting a variety of innovative
carbon removal solutions and is considering projects that
are immediately available and independently verified today,
as well as more innovative technology solutions.
Our investment in greenhouse gas removal (GGR) technologies
involves a combination of forward delivery procurement and
project financial support, facilitating the scale-up of GGR
technologies alongside relevant government support.
When IAG or its operating companies choose to voluntarily
invest in carbon avoidance and removal projects, they work
in collaboration with key partners, carry out due diligence
to select reputable providers, and select projects carefully to
meet and align with verified quality standards, such as Gold
Standard, Puro Standard and Verified Carbon Standard (VCS).
For example, British Airways worked in partnership with CUR8
(a UK-based company dedicated to building the global market
for carbon removals), UNDO (a carbon dioxide removal project
developer specialising in enhanced rock weathering), and
Standard Chartered (representing financial institutions), to
launch a first-of-a-kind financing pilot in 2023, designed to help
scale up the carbon removals market. In 2024, British Airways
committed to purchase more than 33,000 tonnes of carbon
removal credits under this financing structure, delivered by UNDO
(through enhanced rock weathering), and by Standard Chartered
acting as the banking partner. This agreement helps create a
blueprint for carbon removal purchases, by enabling carbon
removal suppliers to access capital in the form of debt financing
via advanced purchase agreements.
The Group continues to advocate policies that will accelerate
global uptake of carbon removals, via the Coalition for Negative
Emissions and other trade associations, and supports the inclusion
of removals in the EU ETS and the UK ETS.","120,000",42,58,VCS,0,58,,
Iberdrola,https://www.iberdrola.com/documents/20125/42388/IB_Sustainability_Report.pdf,Spain,Infrastructure,Electric Utilities & Power Generators,413,KPMG,4,"The Company’s Climate Action Plan aims to achieve carbon neutrality for Scopes 1 and 2 by
2030. The ultimate aspiration of this commitment is to achieve Net Zero emissions by 2040. The
Group would therefore reduce absolute emissions by 90% compared to 2020 and residual
emissions would be neutralised in accordance with the highest standards of quality.
The companies of the Group currently undertake certain activities within the framework of
voluntary markets, but in no case are they linked to the achievement of emission reduction
targets. In other words, the Company will only consider using carbon credits to neutralise its
future residual emissions in accordance with best practices.
On the one hand, it occasionally participates in the voluntary carbon credit market on a voluntary
and insignificant basis, occasionally purchasing carbon credits outside its value chain in order to
offset certain actions or events, but these are not counted towards the achievement of its
emission reduction targets, nor are they linked in any way to them. In 2024, 1,543 tn CO2e were
cancelled on a voluntary basis.
Furthermore, in 2023, Iberdrola launched a new business area related to the voluntary carbon
credit market. The company Carbon2Nature (C2N) was created with the mission of developing
high-impact nature-based solutions projects that reduce the overall carbon footprint, improve
biodiversity and promote a sustainable economy.
Thus, technical and management capacities in the field of voluntary carbon markets are being
strengthened in order to establish the best framework for offsetting and neutralisation as a
contribution to emission reductions while integrating the most up-to-date science-based
guidance and best practices available.","1,543",Not specified,Not specified,Not specified,Not specified,Not specified,,
Ibersol SGPS,https://www.ibersol.pt/investidores/relatorio-contas/2024/Ibersol_2024.pdf,Portugal,Food & Beverage,Restaurants,70,KPMG,3,,0,,,,,,,
ICA Gruppen,https://www.icagruppen.se/globalassets/xx.-arsredovisning-2024/250221_icagruppen_annual_report_2024.pdf,Sweden,Food & Beverage,Food Retailers & Distributors,96,KPMG,3,,0,,,,,,,
If P&C Insurance,https://www.sampo.com/globalassets/year2024/if/if_annual_report_2024.pdf,Sweden,Financials,Insurance,83,Deloitte,3,,0,,,,,,,
Ignitis,https://ignitisgrupe.lt/sites/default/files/public/inline-files/Integrated%20Annual%20Report%202024_0.pdf,Lithuania,Infrastructure,Electric Utilities & Power Generators,120,KPMG,3,,0,,,,,,,
IMCD,https://www.imcdgroup.com/sfsites/c/cms/delivery/media/MC7UDWPIZYQFHHZGUQR3D6G4FBG4?version=1.2&channelId=0apJy00000002pp,Netherlands,Resource Transformation,Chemicals,97,Deloitte,3,,0,,,,,,,
Imerys,https://www.imerys.com/public/2025-03/Imerys-Universal-Registration-Document-2024-EN.pdf,France,Extractives & Mineral Processing,Metals & Mining,172,Deloitte & PwC,3,,0,,,,,,,
Impresa SGPS,https://sdistribution.impresa.pt/data/content/binaries/149/e2a/4010f45d-4401-4619-a7de-13789689966e/Relatorio-e-Contas-Impresa-2024_ENG.pdf,Portugal,Services,Media & Entertainment,81,Deloitte,3,,0,,,,,,,
Inditex,https://www.inditex.com/itxcomweb/api/media/604197b9-50de-4f4f-ab84-c1e379cb3fd0/Inditex_Group_Annual_Report_2024.pdf?t=1741989136588,Spain,Consumer Goods,"Apparel, Accessories & Footwear",296,EY,3,,0,,,,,,,
ING,https://www.ing.com/Investors/Financial-performance/Annual-reports/2024/2024-ING-Groep-NV-annual-report.htm,Netherlands,Financials,Commercial Banks,61,KPMG,3,,0,,,,,,,
ING BANK ŚLĄSKI,https://en.ing.pl/_fileserver/item/k82wipl,Poland,Financials,Commercial Banks,150,Forvis Mazars,3,,0,,,,,,,
InPost,https://inpost.eu/sites/default/files/2025-03/InPost%20Raport%202024s.pdf,Luxembourg,Transportation,Air Freight & Logistics,90,PwC,3,,0,,,,,,,
Interpump Group,https://www.interpumpgroup.it/sites/default/files/documents/ip_2024_annual_report_9_may_2025_1.pdf,Italy,Resource Transformation,Industrial Machinery & Goods,132,PwC,3,,0,,,,,,,
Intesa Sanpaolo,https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/investor-relations/bilanci-relazioni-en/2024/2024_Annual_report.pdf,Italy,Financials,Commercial Banks,236,EY,3,,0,,,,,,,
Ion Beam Applications (IBA),https://www.iba-worldwide.com/sites/default/files/2025-04/iba-annual-report_2024_en.pdf,Belgium,Health Care,Medical Equipment & Supplies,81,PwC,3,,0,,,,,,,
Ipsen,https://www.ipsen.com/websites/ipsen_com_v2/wp-content/uploads/2025/04/17154159/2024-Universal-Registration-Document.pdf,France,Health Care,Biotechnology & Pharmaceuticals,213,PwC,3,,0,,,,,,,
ISS,https://inv.issworld.com/static-files/e2fc0b84-da74-4077-a176-4c4ed0f6364c,Denmark,Services,Professional & Commercial Services,52,PwC,3,,0,,,,,,,
Iveco,https://www.ivecogroup.com/-/media/investors/shareholder_meetings/docs/agm_2025/doc/IVG_Annual_Report_2024.pdf?rev=c295e4c8117c4cbe9305ff93a3264b4c,Netherlands,Transportation,Automobiles,128,Deloitte,4,"In 2024, Brand FPT Industrial continued to offset the GHG emissions generated by its Turin Testing Centre (Italy), in pursuit of becoming a zeroimpact testing facility. Around 11,000 tons of CO2eq emissions generated by the facility were balanced to zero by supporting specific carbon
offsetting initiatives, aimed at reducing deforestation and degradation and at preserving biodiversity through sustainable forest management
practices, ultimately benefitting local communities. The carbon credits purchased are entirely voluntary and do not contribute to achieving CO₂
reduction targets or the net zero target. Furthermore, all purchased credits fall outside both the upstream and downstream value chain. These
credits are associated with The Envira Amazonia Project – A Tropical Forest Conservation Project in Acre (Brazil).","11,000",Not specified,Not specified,Not specified,0,0,,
JDE Peet's,https://www.jdepeets.com/siteassets/home/investors/annual-reports/jde-peets-annual-report-2024.pdf,Netherlands,Food & Beverage,Non-Alcoholic Beverages,132,Deloitte,3,,0,,,,,,,
Jenoptik,https://www.jenoptik.com/-/media/websitedocuments/ir/berichte-und-tabellen/2024/online-gb/english/jenoptik-annual-report-2024.pdf,Germany,Technology & Communications,Hardware,64,EY,3,,0,,,,,,,
Jerónimo Martins SGPS,https://reports.jeronimomartins.com/annual-report/2024/_assets/downloads/entire-jeronimomartins-ar24.pdf,Portugal,Food & Beverage,Food Retailers & Distributors,218,EY,3,,0,,,,,,,
Jungheinrich,https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/1945362/b99eaa2a05fb89cc1a9ba7e22002593e/download-jungheinrich-geschaeftsbericht-2024-data.pdf,Germany,Resource Transformation,Industrial Machinery & Goods,75,PwC,0,"Jungheinrich focusses its climate and environmental protection efforts on avoiding and reducing greenhouse gas emissions.
Purchased and retired COze certificates are not included in the greenhouse gas balance and therefore currently play a minor role in the decarbonisation strategy. The company does not carry out its own projects for greenhouse gas emissions storage and removal. The company's goal is to offset only remaining emissions. From 2050 onwards, the SBTi guidelines stipulate that a maximum of 10 per cent of the remaining Scope 1, 2 and 3 emissions may be offset by certificates. Until then, Jungheinrich also plans to offset any remaining Scope 1 and 2 emissions from 2030 onwards, while continuing to prioritise compliance with the SBTi reduction pathways. The quality of the certificates purchased for offsetting emissions is assessed using a comprehensive internal catalogue of criteria that includes over 20 criteria, including compliance with the DIN EN ISO 14068 standard, adherence to SBTi requirements, and maximisation of transparency and socio-ecological effects.
In the reporting year, the company offset 46.9 thousand tonnes of COze. The majority, amounting to 43.4 thousand tonnes of COze, was offset by 19,441 certificates from the
""Energising India"" reduction project, a solar energy project in India. This project aims to avoid COze emissions by using renewable energies. It is certified according to the internationally recognised Gold Standard VER. 92.5 per cent of all certificates in use in 2024 will therefore be subject to this standard. Jungheinrich also obtains 3,500 certificates from the Indonesian ""Gula Gula"" removal project. This gets local communities involved in protecting reforested areas and implements nature-based solutions to ensure the long-term security of COze storage. This includes, for example, the management of fire barriers and protection against illegal deforestation. The project is certified according to the Plan ViVo standard, and Jungheinrich is offsetting 3.5 thousand tonnes of COze, or 7.5 per cent of the total number of certif-icates. All certificates acquired through this project were retired in 2024.
One example of the use of COze certificates is the offsetting of the remaining cradle-to-gate-of-customer emissions from the POWERLiNE truck series by the end of the 2024 reporting year. The truck series is characterised by energy-efficient manufacturing processes, reduced material usage and the use of lithium-ion technology. At the same time, the COze-neutral after-sales services project was rolled out in five countries in 2023. Emissions from after-sales services have since been reduced through optimised route planning, the use of electric after-sales services vehicles and driver training. The remaining emissions were fully offset. Starting in 2024, the emissions calculations have been rolled out in other countries and reduction measures have been derived from them, but without the implementation of any further compensation measures. Therefore, the project is no longer referred to as COze-neutral after-sales services.","46,900",7.5,92.5,"Gold Standard, Plan Vivo",0,0,,
Just Eat Takeaway.com,https://s205.q4cdn.com/266311280/files/doc_financials/2024/ar/AR2024_JET-com.pdf,Netherlands,Technology & Communications,Internet Media & Services,43,EY,3,,0,,,,,,,
Jyske Bank,https://jyskebank.com/wps/wcm/connect/jbc/db0d2cb1-8b88-4ddd-bbcc-b04dc5330d64/Jyske+Bank+Annual+Report+2024.pdf?MOD=AJPERES,Denmark,Financials,Commercial Banks,108,EY,3,,0,,,,,,,
K+S,https://www.kpluss.com/.downloads/ir/2025/kpluss-annual-report-2024.pdf,Germany,Resource Transformation,Chemicals,94,PwC,3,,0,,,,,,,
Kalmar Global,https://www.kalmarglobal.com/492e6a/contentassets/0777d969294a496686cf652379c24e08/kalmar-annual-report-2024.pdf,Finland,Resource Transformation,Industrial Machinery & Goods,51,EY,3,,0,,,,,,,
KBC Group,https://wcmassets.kbc.be/content/dam/kbccom/doc/investor-relations/Results/jvs-2024/jvs-2024-gr-en.pdf.cdn.res/last-modified/1743057553613/jvs-2024-gr-en.pdf,Belgium,Financials,Commercial Banks,108,KPMG,0,"The portion of our own footprint that cannot yet be eliminated is offset using carbon credits. In practice, we calculate our own
emissions at the end of the year, then negotiate a contract based on the calculated volumes, and cancel these carbon credits
at the beginning of the next year. This means that the amount of carbon credits cancelled in the reporting year is used to offset
our own footprint of the year before. The total amount of carbon credits planned to be cancelled in 2025 is therefore not based
on existing contractual agreements. Since 2021, we have aimed to achieve net climate neutrality with respect to our own operations. We took three steps to achieve
this goal: measure, reduce and offset. As described in ‘Own carbon footprint targets (2.2.3.1.1)’, KBC has set targets to reduce the
CO2
e emissions from its own operations. Avoided emissions are therefore not taken into account as carbon offsets do not
contribute to achieving this target. Each year the emissions from our own operations (i.e. remaining after actions to reduce
emissions) are offset, hence achieving net carbon neutrality. To this end, we have selected high quality projects certified under
internationally recognised standards. Moreover, we specifically chose to invest in projects that address climate change, whilst
simultaneously ensuring additional benefits for local communities and biodiversity conservation. Our due diligence process is
aimed at selecting projects with a demonstrated real-world impact. However, ultimately this process relies on information
supplied by third parties and is dependent on the availability of credits within those projects. The above offsetting is not
validated by an external body other than our assurance provider.","56,000",10,90,VCS,0,0,,
Kemira,https://mb.cision.com/Main/19578/4109438/3278726.pdf,Finland,Resource Transformation,Chemicals,77,EY,3,,0,,,,,,,
Kempower,https://investors.kempower.com/wp-content/uploads/sites/2/2025/04/kempower_annual_report_2024.pdf',Finland,Resource Transformation,Electrical & Electronic Equipment,106,EY,0,"Kempower offsets GHG emissions from business travel flights through
Verra’s Rimba Raya Biodiversity Reserve Project (439 tonnes of CO2
emissions), a biogenic sink focused on protecting Rimba Raya from
deforestation. Business flight emissions are also offsetted through Gold
Standard’s 400 MW Solar Power Project at Bhadla, Rajasthan (439 tonnes of
CO2 emissions), a technological sink, producing more than 730,000 MWh of
renewable electricity annually, reducing dependence on fossil fuels.
Kempower offsets its emissions only through reliable and internationally
recognized parties. Regarding Rimba Raya, Kempower chose the project as
it supports renewable energy production and the affected people in the
area. Furthermore, criteria included the fact that the project has a jobcreation impact and, within its framework, various types of training have
also been offered to local residents. The infrastructure of the area will also
develop with the project. Offsets for business travel flights in 2024 pertain to flights taken in 2023.",878,50,50,"VCS, Gold Standard",0,0,,
Kendrion,https://www.kendrion.com/fileadmin/user_upload/Downloads/Investor_Relations/Annual_Reports/2024/28022025_Kendrion_Annual_Report_2024_-_final.pdf,Netherlands,Resource Transformation,Electrical & Electronic Equipment,64,Forvis Mazars,3,,0,,,,,,,
Kering,https://www.kering.com/api/download-file/?path=DEU_EN_2024_interactif_26c8d4882e.pdf,France,Consumer Goods,"Apparel, Accessories & Footwear",110,Deloitte & PwC,4,"As part of the Group’s net-zero strategy, Kering and its houses are
prioritizing reducing their GHG emissions by implementing direct
initiatives to reduce them in the value chain. This includes active
support for certain strategic suppliers (scope  3) to help them
decarbonize their activities, also called “insetting”. In 2024,
Kering focused on financing those efforts rather than buying
carbon credits to offset its carbon emissions (2,136,560 tCO2e of
credits canceled in 2023 with respect to 2022, corresponding to
the voluntary offsetting of scope 1, 2 and 3 emissions excluding
use of sold products).
In 2024, Kering purchased carbon credits allowing it to offset
voluntarily, with respect to 2023, almost 42,000 tCO2e, i.e. around
the same as its scope  1 and 2 emissions, through two naturebased projects: one avoidance project in Canada and one
removal project in mainland China.
As part of the Group’s voluntary offsetting strategy, Kering and
L’Occitane set up the Climate Fund for Nature, a fund with a
target size of €300  million and fully focused on protecting and
regenerating nature, managed by Mirova. The fund invests in
projects to preserve primary forests and restore mangroves, as
well as reforestation/afforestation and regenerative agriculture
projects, with a target of 70% removal projects and 30%
avoidance projects. Kering is therefore preparing its
neutralization strategy in accordance with its net zero emissions
target. Those projects produce nature co-benefits, which are
discussed further in section 2.4.3.
At the end of 2024, four projects were active (one avoidance
project and three removal projects).","42,000",Not specified,Not specified,Not specified,0,,,
Kerry Group,https://www.kerry.com/content/dam/kerry/en/pdf/investors/results-presentations/2025/kerry-group-annual-report-2024.pdf,Ireland,Food & Beverage,Processed Foods,107,PwC,3,,0,,,,,,,
Kesko,https://www.kesko.fi/493454/globalassets/03-sijoittaja/raporttikeskus/2025/q1/vuosiraportti-2024/kesko_annual_report_2024.pdf,Finland,Food & Beverage,Food Retailers & Distributors,71,Deloitte,3,,0,,,,,,,
Kingspan,https://annual-report.kingspan.com/wp-content/uploads/2025/02/KIngpsan-AR24.pdf,Ireland,Consumer Goods,Building Products & Furnishings,49,EY,3,,0,,,,,,,
KION Group,https://reports.kiongroup.com/2024/ar/_assets/downloads/2024-Q4_Annual-Report_KION_Group.pdf?h=VEHUIzFO,Germany,Resource Transformation,Industrial Machinery & Goods,130,KPMG,3,,0,,,,,,,
Kitron Group,https://kitron.com/storage/files/Annual-Reports/Kitron-Annual-Report-2024.pdf,Norway,Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing,61,PwC,3,,0,,,,,,,
Klepierre,https://www.klepierre.com/files/51e291c5/2024_universal_registration_document_19_mars.pdf,France,Infrastructure,Real Estate,103,EY & Deloitte,3WIP,"A Group strategy on removals and carbon credits was developed in
2024 and is scheduled for implementation in 2025. Klépierre uses
carbon credits separately from its GHG emissions and emission
reduction targets.
Klépierre aims to reduce Scopes 1 & 2 GHG emissions (market‑based)
by 90% by 2030 compared to a 2017 base year and intends to
neutralize residual emissions on this scope by using its carbon
credits. To achieve this, it has defined a long-term procurement
policy to enable high-impact projects. Indeed, to ensure a reliable
and high-quality long-term supply, the Group joined the Climate
Fund for Nature in 2024. This will enable it to begin canceling
carbon credits in 2025, gradually increasing the volume to reach
8,900  tons per year by 2030, allowing it to achieve its net-zero
target. The Group will focus on developing sequestration projects,
which will represent 70% of the Fund (compared to 30% for avoidance
projects), prioritizing nature-based solutions and biogenic sinks.
It aims to diversify its geographical footprint by developing activities
in developing countries most affected by climate change, as well as
in its operating countries, with 50% of projects in the EU. 100% of
credits will be certified under VCS (Verified Carbon Standard),
GC (Gold Standard), CCB (Climate, Community & Biodiversity Standards).
Since no Group strategy was in place in 2024, no carbon credits were
cancelled during the year.",0,,,,,,,
Knorr-Bremse,https://ir-api.eqs.com/media/document/055f8df8-0727-4d65-968e-ffb3b7b87a35/assets/Knorr-Bremse_AG_Geschaeftsbericht_2024_safe.pdf?disposition=inline,Germany,Resource Transformation,Industrial Machinery & Goods,79,KPMG,1,"Our goal is to achieve net zero emissions by 2050. In doing so, we want to reduce at least 90% of GHG emissions for Scope 1-3. The remaining GHG emissions in 2050 are to be removed from the atmosphere or stored via climate protection projects, which we want to support by investing in COze certificates.

In order to gain experience with the removal and storage of greenhouse gas emissions today, we invested in a project to store COze outside of our own value chain for the first time in the reporting year. To this end, we expanded our existing financial commitment to the “Efficient wood gasification stoves” climate protection project in India in 2024 to include the storage of COze using biochar. The biochar produced as a by-product of the project can be processed into plant fertilizer together with compost and limestone. By spreading the fertilizer, COze is stored in the soil and thus forms a biogenic sink. In addition to “Efficient wood gasification stoves”, we also support the “Clean drinking water” project in Kenya, another atmosfair gGmbH climate protection project that is certified in accordance with the “Gold Standard”.

The COze certificates are not counted towards greenhouse gas emissions in the reporting year (Table → 2.21] or towards the achievement of the Scope 1-3 targets (see chapter “Climate protection targets [E1-4]”). Tab. → 2.23","40,000",0,100,Gold Standard,0,0,,
Komernci banka,https://www.kb.cz/getmedia/9c7d4c2f-508b-4088-893e-7469b54d00d3/KB-Annual-Report-2024.pdf,Czech Republic,Financials,Commercial Banks,150,KPMG,3,,0,,,,,,,
